epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6494,1.43314,1.519,1.31632,0.87397,0.81772,0.89021,0.55363,1.2831,0.98647,1.26941,0.000665333,0.000665333,0.000665333
2,149.159,1.31281,1.04015,1.24466,0.91782,0.85525,0.92737,0.62004,1.16578,0.79212,1.20816,0.00131424,0.00131424,0.00131424
3,221.756,1.27184,0.95998,1.22407,0.92314,0.87423,0.93227,0.61096,1.15704,0.89391,1.20676,0.00194537,0.00194537,0.00194537
4,293.514,1.2351,0.90098,1.20328,0.94449,0.91542,0.95949,0.65717,1.06448,0.67948,1.12847,0.00192,0.00192,0.00192
5,368.789,1.17412,0.83777,1.1762,0.94416,0.92658,0.95851,0.6752,1.02361,0.66454,1.10862,0.00189333,0.00189333,0.00189333
6,459.01,1.14409,0.79344,1.15577,0.94563,0.92848,0.96308,0.67629,0.98734,0.63683,1.09328,0.00186667,0.00186667,0.00186667
7,548.766,1.11839,0.7664,1.1459,0.95552,0.93803,0.97103,0.70073,0.95526,0.54859,1.0745,0.00184,0.00184,0.00184
8,628.853,1.094,0.73766,1.12705,0.96445,0.93165,0.9728,0.70304,0.97764,0.55014,1.07982,0.00181333,0.00181333,0.00181333
9,716.603,1.07609,0.71895,1.11738,0.9646,0.94844,0.98206,0.71838,0.92546,0.54436,1.03308,0.00178667,0.00178667,0.00178667
10,798.955,1.06736,0.70666,1.11243,0.97575,0.94228,0.97858,0.72725,0.8998,0.50711,1.02667,0.00176,0.00176,0.00176
11,868.312,1.04823,0.68654,1.10311,0.97349,0.95506,0.98338,0.73551,0.87933,0.48232,1.01541,0.00173333,0.00173333,0.00173333
12,939.217,1.02959,0.67177,1.09715,0.96927,0.94873,0.9791,0.72939,0.8887,0.49525,1.0155,0.00170667,0.00170667,0.00170667
13,1011.8,1.02742,0.6595,1.09412,0.97351,0.95,0.98416,0.73548,0.86186,0.47055,1.01328,0.00168,0.00168,0.00168
14,1094.27,1.01336,0.64641,1.08598,0.9738,0.96456,0.98579,0.75581,0.85546,0.45711,0.99385,0.00165333,0.00165333,0.00165333
15,1164.73,1.00339,0.64199,1.0817,0.9784,0.96013,0.987,0.74579,0.85209,0.45677,1.0011,0.00162667,0.00162667,0.00162667
16,1235.33,0.99202,0.62783,1.07602,0.97692,0.96427,0.98632,0.75915,0.83955,0.43976,0.99201,0.0016,0.0016,0.0016
17,1313.16,0.98514,0.62272,1.073,0.97768,0.97043,0.98875,0.75767,0.83626,0.43446,0.97731,0.00157333,0.00157333,0.00157333
18,1400.59,0.98241,0.61462,1.0702,0.9817,0.96392,0.98894,0.75861,0.827,0.43135,0.98526,0.00154667,0.00154667,0.00154667
19,1470.86,0.97841,0.60876,1.06736,0.97773,0.97271,0.98992,0.76109,0.82081,0.42816,0.97752,0.00152,0.00152,0.00152
20,1540.52,0.97527,0.60687,1.06564,0.9858,0.96684,0.99094,0.77206,0.80071,0.41404,0.96328,0.00149333,0.00149333,0.00149333
21,1610.61,0.95573,0.59373,1.05719,0.98277,0.97532,0.99251,0.77166,0.79163,0.40813,0.963,0.00146667,0.00146667,0.00146667
22,1683.12,0.94893,0.58509,1.05296,0.98637,0.96161,0.98915,0.77369,0.7889,0.40597,0.96746,0.00144,0.00144,0.00144
23,1755.91,0.94954,0.58495,1.05516,0.98363,0.96835,0.9884,0.76802,0.79384,0.40712,0.96602,0.00141333,0.00141333,0.00141333
24,1825.46,0.94496,0.5752,1.04839,0.98143,0.96709,0.99015,0.7745,0.78847,0.39707,0.95763,0.00138667,0.00138667,0.00138667
25,1895.13,0.93683,0.56875,1.04623,0.98532,0.97727,0.99288,0.77886,0.78335,0.38628,0.95722,0.00136,0.00136,0.00136
26,1964.77,0.93276,0.56949,1.04449,0.98154,0.97584,0.99272,0.78242,0.77686,0.38492,0.95274,0.00133333,0.00133333,0.00133333
27,2037.24,0.92999,0.5577,1.04238,0.98028,0.97543,0.99156,0.78106,0.77776,0.37895,0.9558,0.00130667,0.00130667,0.00130667
28,2108.5,0.92388,0.56041,1.04401,0.98395,0.97015,0.98916,0.77821,0.77813,0.38179,0.95709,0.00128,0.00128,0.00128
29,2178.86,0.9179,0.55177,1.04118,0.98619,0.96772,0.99168,0.78448,0.76843,0.38187,0.95641,0.00125333,0.00125333,0.00125333
30,2249.34,0.91835,0.55254,1.04139,0.98281,0.97848,0.99339,0.79219,0.76129,0.36935,0.94433,0.00122667,0.00122667,0.00122667
31,2320.35,0.91584,0.55031,1.03607,0.99097,0.97287,0.99315,0.78833,0.7567,0.36953,0.94286,0.0012,0.0012,0.0012
32,2391.73,0.9044,0.53976,1.03039,0.99085,0.97152,0.99237,0.79198,0.75894,0.36657,0.94836,0.00117333,0.00117333,0.00117333
33,2462.27,0.9007,0.53585,1.03334,0.98529,0.97537,0.99329,0.78951,0.75869,0.36591,0.94893,0.00114667,0.00114667,0.00114667
34,2532.32,0.89414,0.53053,1.02761,0.98474,0.97658,0.99331,0.79286,0.75758,0.36493,0.94312,0.00112,0.00112,0.00112
35,2603.25,0.90088,0.5288,1.02788,0.98604,0.97785,0.99346,0.79668,0.75722,0.36344,0.94246,0.00109333,0.00109333,0.00109333
36,2674.02,0.88704,0.52537,1.02584,0.99078,0.97532,0.99351,0.79665,0.74207,0.35455,0.9393,0.00106667,0.00106667,0.00106667
37,2744.54,0.88647,0.5223,1.0249,0.99049,0.97025,0.99372,0.7932,0.74174,0.35642,0.93395,0.00104,0.00104,0.00104
38,2814.91,0.88316,0.52079,1.02035,0.98337,0.97281,0.99266,0.794,0.74787,0.35749,0.94283,0.00101333,0.00101333,0.00101333
39,2885.13,0.87638,0.51109,1.01589,0.99037,0.97617,0.99377,0.79778,0.74074,0.35104,0.93481,0.000986667,0.000986667,0.000986667
40,2955.71,0.87064,0.51194,1.01618,0.98902,0.97595,0.99401,0.79705,0.73908,0.34965,0.93397,0.00096,0.00096,0.00096
41,3027.24,0.87294,0.51027,1.01609,0.99422,0.97909,0.99423,0.79868,0.73358,0.3451,0.93137,0.000933333,0.000933333,0.000933333
42,3097.68,0.85742,0.5002,1.00878,0.99097,0.97216,0.99368,0.80153,0.72753,0.33879,0.92892,0.000906667,0.000906667,0.000906667
43,3168.18,0.86542,0.50237,1.01228,0.99101,0.97684,0.99368,0.79933,0.73222,0.34694,0.93115,0.00088,0.00088,0.00088
44,3245.48,0.86374,0.50253,1.01266,0.98484,0.98165,0.99399,0.80388,0.73754,0.33875,0.93362,0.000853333,0.000853333,0.000853333
45,3315.73,0.85759,0.4967,1.00933,0.98913,0.97892,0.99382,0.79912,0.72714,0.33815,0.92999,0.000826667,0.000826667,0.000826667
46,3385.52,0.85113,0.49507,1.00722,0.99023,0.98038,0.99389,0.8049,0.73134,0.33732,0.93176,0.0008,0.0008,0.0008
