epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7051,0.99991,1.89727,1.03153,0.96601,0.93048,0.98427,0.81213,0.63889,0.71858,0.84175,0.00332876,0.00332876,0.00332876
2,169.866,0.82194,0.92883,0.94008,0.97336,0.97301,0.99136,0.81129,0.65264,0.51594,0.85864,0.00657327,0.00657327,0.00657327
3,251.767,0.83615,0.77063,0.95162,0.97307,0.9699,0.98824,0.81156,0.67392,0.48519,0.87773,0.00972888,0.00972888,0.00972888
4,333.314,0.81965,0.67842,0.95769,0.95631,0.95889,0.97913,0.81833,0.64868,0.5143,0.8718,0.0096,0.0096,0.0096
5,414.587,0.77162,0.58555,0.9369,0.9829,0.98762,0.99006,0.83759,0.61644,0.40754,0.86143,0.00946667,0.00946667,0.00946667
6,495.948,0.73676,0.54954,0.92785,0.9894,0.98646,0.99099,0.84783,0.58888,0.37468,0.84853,0.00933333,0.00933333,0.00933333
7,577.186,0.71454,0.5165,0.92091,0.98687,0.98305,0.99116,0.84757,0.57431,0.37569,0.85868,0.0092,0.0092,0.0092
8,658.653,0.69766,0.4952,0.91266,0.9811,0.98581,0.99181,0.86631,0.5494,0.34682,0.84776,0.00906667,0.00906667,0.00906667
9,740.293,0.68534,0.47662,0.91032,0.99167,0.99085,0.99328,0.87261,0.53832,0.32566,0.84567,0.00893333,0.00893333,0.00893333
10,821.73,0.6666,0.4621,0.90423,0.98972,0.99322,0.99209,0.87615,0.52173,0.32775,0.844,0.0088,0.0088,0.0088
11,903.001,0.65047,0.44843,0.89539,0.98822,0.99265,0.9933,0.8722,0.53201,0.31681,0.84308,0.00866667,0.00866667,0.00866667
12,984.505,0.65023,0.43872,0.89693,0.99186,0.99518,0.99238,0.88093,0.51415,0.30639,0.83936,0.00853333,0.00853333,0.00853333
13,1065.84,0.63862,0.43088,0.89321,0.98904,0.99826,0.99252,0.88196,0.51155,0.29797,0.8392,0.0084,0.0084,0.0084
14,1147.32,0.63247,0.42161,0.89073,0.99075,0.99256,0.9929,0.88802,0.497,0.28746,0.83625,0.00826667,0.00826667,0.00826667
15,1230.62,0.62311,0.4108,0.88735,0.99335,0.9949,0.99415,0.88742,0.50048,0.28776,0.8337,0.00813333,0.00813333,0.00813333
16,1314.05,0.61704,0.40727,0.88395,0.99487,0.99769,0.99285,0.89153,0.49722,0.28006,0.8316,0.008,0.008,0.008
17,1397.8,0.61079,0.39849,0.88201,0.99591,0.99594,0.99389,0.89614,0.4795,0.27401,0.83133,0.00786667,0.00786667,0.00786667
18,1481.12,0.6115,0.39678,0.88156,0.99096,0.99782,0.99334,0.90173,0.47306,0.26873,0.82902,0.00773333,0.00773333,0.00773333
19,1564.45,0.60395,0.38756,0.88241,0.99433,0.99725,0.99344,0.90076,0.46874,0.26053,0.83007,0.0076,0.0076,0.0076
20,1648.06,0.59855,0.38241,0.88,0.99383,0.99858,0.99294,0.89568,0.47226,0.25931,0.82834,0.00746667,0.00746667,0.00746667
21,1731.41,0.59232,0.37929,0.87886,0.99602,0.99881,0.9945,0.90592,0.465,0.25443,0.82596,0.00733333,0.00733333,0.00733333
22,1814.75,0.59398,0.37892,0.87889,0.99435,0.99852,0.99394,0.90516,0.46919,0.25616,0.82275,0.0072,0.0072,0.0072
23,1897.87,0.58614,0.36996,0.87407,0.99602,0.99858,0.99389,0.90179,0.46405,0.25064,0.82582,0.00706667,0.00706667,0.00706667
24,1982.06,0.58434,0.36782,0.8742,0.99508,0.99767,0.99416,0.909,0.45797,0.24804,0.82214,0.00693333,0.00693333,0.00693333
25,2066.4,0.57784,0.36319,0.87124,0.99565,0.99717,0.99396,0.91281,0.45637,0.24704,0.8227,0.0068,0.0068,0.0068
26,2147.87,0.57403,0.3595,0.86994,0.9923,0.99781,0.9941,0.91394,0.44817,0.2394,0.82107,0.00666667,0.00666667,0.00666667
